,序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
0,1,计算机设备,2.08,1166.71,207.28,0.25,51,27,17.77,同辉信息,2.84,23.48
1,2,贵金属,1.61,466.32,56.09,1.54,9,3,12.03,晓程科技,12.85,5.94
2,3,建筑装饰,1.44,2267.27,161.18,0.73,87,59,7.11,测绘股份,13.57,19.98
3,4,油气开采及服务,0.78,484.38,36.9,3.51,15,4,7.62,ST新潮,1.79,5.29
4,5,银行,0.72,2421.9,160.34,27.8,31,6,6.62,交通银行,7.15,3.03
5,6,金属新材料,0.69,132.75,19.89,-1.22,10,16,14.98,屹通新材,25.2,20.0
6,7,化工合成材料,0.6,1288.63,111.39,-4.64,55,58,8.64,星辉环材,21.22,20.02
7,8,计算机应用,0.51,3654.35,434.59,-33.88,110,148,11.89,立方控股,10.16,29.92
8,9,工业金属,0.37,1547.53,136.44,7.01,33,22,8.82,鑫铂股份,17.15,6.19
9,10,包装印刷,0.3,345.76,27.38,-2.23,22,21,7.92,永吉股份,8.28,9.96
10,11,石油加工贸易,0.25,530.73,37.61,2.11,12,14,7.09,岳阳兴长,17.28,6.73
11,12,饮料制造,0.14,303.2,154.63,-5.79,19,28,51.0,会稽山,11.72,10.05
12,13,电子化学品,0.14,610.08,104.36,1.94,17,20,17.11,南大光电,32.44,5.36
13,14,纺织制造,0.03,138.83,8.96,-0.11,14,12,6.46,华利集团,69.11,2.64
14,15,其他电子,-0.02,651.42,92.12,-5.23,13,22,14.14,好上好,22.33,10.0
15,16,通信服务,-0.07,828.8,67.63,1.89,22,22,8.16,*ST鹏博,1.38,5.34
16,17,造纸,-0.1,220.81,13.24,-0.72,10,12,5.99,恒达新材,25.78,5.1
17,18,物流,-0.11,382.28,33.88,-2.81,20,27,8.86,飞力达,5.24,8.04
18,19,仪器仪表,-0.15,265.04,38.84,-4.08,23,30,14.65,理工光科,32.99,13.84
19,20,光学光电子,-0.15,1639.3,139.96,-10.58,32,70,8.54,光智科技,20.36,8.94
20,21,综合,-0.15,280.87,12.67,-2.06,8,16,4.51,*ST恒立,1.42,5.18
21,22,非汽车交运,-0.17,335.25,35.11,-1.81,12,30,10.47,朗进科技,16.44,20.0
22,23,专用设备,-0.19,1643.09,167.13,-11.19,81,125,10.17,国安达,21.41,15.05
23,24,家用轻工,-0.21,439.52,38.78,-3.0,38,68,8.82,亚振家居,5.48,10.04
24,25,通信设备,-0.23,1155.61,272.67,-16.42,25,59,23.6,长江通信,24.59,10.02
25,26,建筑材料,-0.24,605.33,39.42,-2.03,26,42,6.51,西藏天路,4.33,9.9
26,27,自动化设备,-0.24,544.82,105.52,-12.24,29,62,19.37,田中精机,18.01,16.42
27,28,燃气,-0.25,117.98,10.89,-0.92,9,19,9.23,美能能源,12.13,1.25
28,29,环保,-0.28,840.51,49.35,-4.11,44,91,5.87,国林科技,13.91,8.5
29,30,半导体及元件,-0.28,3189.57,805.71,-31.12,70,139,25.26,科翔股份,8.88,20.0
30,31,小金属,-0.31,766.43,88.1,-6.26,16,27,11.49,盛屯矿业,3.83,10.06
31,32,小家电,-0.36,122.95,15.81,-0.71,8,16,12.86,欧圣电气,23.18,8.32
32,33,通用设备,-0.37,1498.76,154.12,-13.08,59,126,10.28,华嵘控股,6.58,10.03
33,34,其他社会服务,-0.43,189.49,28.77,-2.26,12,21,15.18,国缆检测,43.3,5.58
34,35,零售,-0.45,1159.92,53.0,-7.75,13,55,4.57,汇通能源,26.06,10.0
35,36,公路铁路运输,-0.45,453.64,25.89,-0.03,11,18,5.71,楚天高速,4.36,1.4
36,37,食品加工制造,-0.46,399.95,44.3,-5.84,25,57,11.08,海欣食品,3.84,5.5
37,38,种植业与林业,-0.51,153.48,7.78,-1.51,6,17,5.07,秋乐种业,6.35,2.75
38,39,医疗器械,-0.51,355.89,68.05,-4.58,37,88,19.12,乐心医疗,10.08,20.0
39,40,房地产服务,-0.55,216.12,11.28,-0.5,2,5,5.22,特发服务,38.25,0.98
40,41,钢铁,-0.56,659.02,28.03,-0.32,8,35,4.25,中信特钢,14.55,1.82
41,42,化学制品,-0.57,1732.87,202.77,-16.95,69,149,11.7,保利联合,7.33,10.06
42,43,非金属材料,-0.58,32.65,9.39,-1.45,5,9,28.76,东方碳素,8.22,1.86
43,44,煤炭开采加工,-0.61,563.13,57.63,-2.05,5,27,10.23,云煤能源,3.52,3.23
44,45,教育,-0.61,294.84,9.69,-1.8,3,13,3.29,ST东时,1.21,5.22
45,46,农业服务,-0.63,88.5,5.18,-1.28,4,11,5.85,润农节水,2.9,4.69
46,47,服装家纺,-0.65,291.33,18.98,-3.05,15,39,6.51,*ST天创,2.61,3.16
47,48,白色家电,-0.7,432.32,79.79,-7.77,10,24,18.46,拾比佰,3.89,2.1
48,49,房地产开发,-0.71,2088.85,95.18,-9.33,19,69,4.56,*ST中迪,1.7,4.94
49,50,化学原料,-0.71,403.82,28.83,-3.41,15,42,7.14,ST世龙,5.36,2.49
50,51,景点及旅游,-0.73,169.15,15.13,-2.09,6,18,8.95,西藏旅游,11.85,3.86
51,52,美容护理,-0.74,75.23,15.17,-1.46,9,23,20.17,芭薇股份,10.94,1.86
52,53,厨卫电器,-0.81,42.59,4.68,-0.35,2,6,10.99,帅丰电器,11.75,0.34
53,54,汽车零部件,-0.83,1890.43,254.4,-20.62,49,184,13.46,索菱股份,5.43,9.92
54,55,机场航运,-0.83,364.57,33.83,-2.42,1,12,9.28,中信海直,18.04,2.33
55,56,港口航运,-0.85,836.32,51.03,-2.87,3,29,6.1,ST锦港,1.65,3.77
56,57,国防军工,-0.91,1530.2,235.03,-28.66,32,103,15.36,中海达,7.34,6.53
57,58,化学制药,-0.92,924.12,109.71,-13.36,36,113,11.87,富士莱,27.5,2.73
58,59,贸易,-0.93,332.88,7.43,-1.12,4,12,2.23,厦门信达,3.94,1.28
59,60,农产品加工,-0.93,451.42,29.92,-4.94,14,29,6.63,田野股份,2.29,2.23
60,61,医药商业,-0.95,161.77,21.98,-2.48,7,24,13.59,第一医药,10.82,0.74
61,62,中药,-0.99,500.76,65.27,-10.78,15,57,13.03,*ST龙津,2.03,5.18
62,63,消费电子,-0.99,1645.99,279.91,-19.21,17,84,17.01,奥尼电子,24.35,9.19
63,64,生物制品,-0.99,243.16,45.71,-3.92,13,40,18.8,甘李药业,48.6,1.78
64,65,汽车整车,-1.01,942.38,160.11,-7.79,6,18,16.99,力帆科技,3.14,3.63
65,66,医疗服务,-1.14,356.41,59.1,-10.65,9,43,16.58,数字人,9.55,3.35
66,67,酒店及餐饮,-1.16,77.22,10.87,-1.84,3,6,14.07,中科云网,2.86,1.06
67,68,汽车服务,-1.2,268.14,8.28,-1.28,2,8,3.09,北巴传媒,2.93,2.45
68,69,传媒,-1.24,2212.56,155.41,-26.9,12,116,7.02,华扬联众,9.26,9.98
69,70,证券,-1.26,1558.17,128.56,-25.26,0,48,8.25,红塔证券,6.67,-0.15
70,71,保险及其他,-1.27,630.23,56.18,-6.13,5,28,8.91,爱建集团,3.96,1.02
71,72,互联网电商,-1.51,165.38,11.0,-2.19,5,16,6.65,凯淳股份,17.77,1.08
72,73,电力,-1.54,2363.71,159.9,-22.86,9,83,6.76,华能水电,10.49,1.75
73,74,黑色家电,-1.65,219.21,19.46,-3.75,3,6,8.88,海信视像,28.07,1.48
74,75,养殖业,-1.83,341.06,28.5,-5.29,2,25,8.36,开创国际,8.18,0.37
75,76,电力设备,-1.84,4027.64,508.34,-81.66,51,326,12.62,合纵科技,2.75,10.89
